Normalization	Tool	10	10n	1	1n	0.1	0.1n	0.01	0.01n	0.001	0.001n	0.0001	0.0001n
cyclicloess	moFF	0.992265339758929	5	0.0218980768948853	4	0.994838480068523	6	2.0807434123521	2	2.99310888247727	1	4.00937168970046	5
scale	moFF	1.03924659455306	5	0.683318612056499	5	1.01831633720651	6	1.98686487679185	5	2.9623010604356	7	4.00093942662692	6
quantile	moFF	1.00488430946246	5	0.0300980597743835	5	1.34011111119694	6	3.22630754745855	5	4.20778275759517	7	5.25372526610638	6
vsn	moFF	0.89246458678274	5	0.737913775094275	5	1.10745521955357	6	2.01279074937104	5	2.99459838656406	7	4.01598498441065	6
cyclicloess	moFF_no_MBR	0.742274796624687	5	0.496482967172964	5	0.507223483665922	6	1.33288661927978	5	2.28875755763495	7	3.15665353745015	6
scale	moFF_no_MBR	0.7546232414274	5	0.528399401405006	5	0.506544996587232	6	1.32325920575687	5	2.2811766638115	7	3.18800505557632	6
quantile	moFF_no_MBR	0.727870069400965	5	0.452524504753495	5	0.546732714007565	6	1.35622826605293	5	2.33070897861174	7	3.19805887659088	6
vsn	moFF_no_MBR	0.758660337826934	5	0.520158632817279	5	0.512190511837623	6	1.31485320122617	5	2.27991056526241	7	3.18103900259325	6
cyclicloess	FlashLFQ	0.517398120559461	5	0.297278284820163	4	0.2218654364102	6	0.12779600062937	5	2.36287629210007	6	2.97360867163536	6
scale	FlashLFQ	0.475558447653568	5	1.42396854966501	5	0.513910427930808	6	2.05108493619274	5	2.99800433741375	7	1.55090755957989	6
quantile	FlashLFQ	0.431846206209448	5	1.31688082164656	5	0.477342407777591	6	2.33126161425777	5	3.01778447853117	7	1.61376065594854	6
vsn	FlashLFQ	0.449237618350705	5	1.41687910923612	5	0.490492566441044	6	2.03950144222875	5	2.98637637614979	7	1.55100984105718	6
cyclicloess	FlashLFQ_no_MBR	0.546962477750231	5	0.259369490130147	4	0.230498299967808	5	NaN	0	NaN	0	NaN	0
scale	FlashLFQ_no_MBR	0	0	0	0	0	0	0	0	0	0	0	0
quantile	FlashLFQ_no_MBR	0.540615606987801	5	0.955030122936148	5	3.74478588054417	6	5.1108415638725	5	3.97951759220454	7	3.24935885243095	6
vsn	FlashLFQ_no_MBR	0.578597471742292	5	1.46944928901407	5	2.57682447159781	6	4.29551702662121	5	2.39548130564622	7	2.74322975542993	6
cyclicloess	MaxQuant	0.528590680939452	8	0.286775742145955	8	0.329625970433513	8	0.227467091431598	4	3.03443415927206	1	3.24211635714379	1
scale	MaxQuant	0.507940462891839	8	0.756663784912647	8	2.42711684345359	8	4.7972248468096	8	5.28112272318785	8	4.51894869041322	8
quantile	MaxQuant	0.515054608442046	8	0.844284515667847	8	2.83289966382534	8	5.10852545520562	8	5.29724931284352	8	4.63742841501635	8
vsn	MaxQuant	0.495224621086244	8	0.748850201453825	8	2.41555319195938	8	4.78241285337338	8	5.27601036880739	8	4.50967713232688	8
cyclicloess	MaxQuant_no_MBR	0.536893427396146	8	0.286281102941918	8	0.337169854103665	8	NaN	0	NaN	0	NaN	0
scale	MaxQuant_no_MBR	0.520334554645462	8	0.775299932000907	8	4.26577306334833	8	6.08796547917619	8	5.12571353434541	8	4.60990796157309	8
quantile	MaxQuant_no_MBR	0.480395550083413	8	0.525841133441019	8	5.29055496231114	8	6.55617084983048	8	5.46141360851507	8	4.71267825879613	8
vsn	MaxQuant_no_MBR	0.478172220965019	8	0.764983616178016	8	4.24373941472612	8	6.06347231599116	8	5.10144919565871	8	4.58851494468616	8
NA	FlashLFQ_norm	0.479010255830026	5	1.40382852535	5	0.554756436602684	4	2.31027970243494	3	3.16554271593781	4	2.28440329021079	5
NA	FlashLFQ_no_MBR_norm	0.56901313839053	5	1.54335680848821	5	2.58122926276144	4	3.21954689829486	3	2.24394691314501	4	2.73365444285939	5
MaxLFQ	MaxQuant	0.471353282968874	8	0.270565219180875	8	0.343587067571536	8	0.769874012785151	7	0.168863128843069	2	NaN	0
MaxLFQ	MaxQuant_no_MBR	0.525159365399382	8	0.279312036382912	8	0.343587067571536	7	0.769874012785151	1	NaN	0	NaN	0
