Normalization	Tool	TotalProtIDs	UpsDeProtDetected	tp	fn	fp	tn	TPR	FNR	tested
cyclicloess	moFF	2263	40	38	2	14	2209	0.95	0.05	1
scale	moFF	2269	40	37	3	15	2214	0.925	0.075	1
quantile	moFF	2269	40	37	3	11	2218	0.925	0.075	1
vsn	moFF	2269	40	38	2	15	2214	0.95	0.05	1
cyclicloess	moFF_no_MBR	2158	24	22	2	15	2119	0.55	0.05	0.6
scale	moFF_no_MBR	2158	24	22	2	9	2125	0.55	0.05	0.6
quantile	moFF_no_MBR	2158	24	22	2	8	2126	0.55	0.05	0.6
vsn	moFF_no_MBR	2158	24	22	2	12	2122	0.55	0.05	0.6
cyclicloess	FlashLFQ	2023	38	36	2	10	1975	0.9	0.05	0.95
scale	FlashLFQ	2270	40	39	1	9	2221	0.975	0.025	1
quantile	FlashLFQ	2270	40	37	3	17	2213	0.925	0.075	1
vsn	FlashLFQ	2270	40	39	1	6	2224	0.975	0.025	1
cyclicloess	FlashLFQ_no_MBR	1443	16	16	0	11	1416	0.4	0	0.4
scale	FlashLFQ_no_MBR	2270	40	35	5	4	2226	0.875	0.125	1
quantile	FlashLFQ_no_MBR	2270	40	38	2	30	2200	0.95	0.05	1
vsn	FlashLFQ_no_MBR	2270	40	35	5	3	2227	0.875	0.125	1
cyclicloess	MaxQuant	1896	20	18	2	9	1867	0.45	0.05	0.5
scale	MaxQuant	2270	40	38	2	7	2223	0.95	0.05	1
quantile	MaxQuant	2270	40	38	2	12	2218	0.95	0.05	1
vsn	MaxQuant	2270	40	38	2	6	2224	0.95	0.05	1
cyclicloess	MaxQuant_no_MBR	1430	15	14	1	8	1407	0.35	0.025	0.375
scale	MaxQuant_no_MBR	2270	40	38	2	3	2227	0.95	0.05	1
quantile	MaxQuant_no_MBR	2270	40	39	1	25	2205	0.975	0.025	1
vsn	MaxQuant_no_MBR	2270	40	38	2	3	2227	0.95	0.05	1
MaxLFQ	MaxQuant	2106	29	13	16	1	2076	0.325	0.4	0.725
MaxLFQ	MaxQuant_no_Mbr	1840	19	9	10	0	1821	0.225	0.25	0.475
