Normalization	Tool	rmsle
cyclicloess	moFF	1.41900351120519
scale	moFF	2.76931638911323
quantile	moFF	3.34905183944413
vsn	moFF	2.76005882144169
cyclicloess	moFF_no_MBR	1.7468268775129
scale	moFF_no_MBR	1.75306279907242
quantile	moFF_no_MBR	1.76204512265617
vsn	moFF_no_MBR	1.7471201652425
cyclicloess	FlashLFQ	1.44148958204073
scale	FlashLFQ	1.67275279855816
quantile	FlashLFQ	1.77043041595931
vsn	FlashLFQ	1.66111227670778
cyclicloess	FlashLFQ_no_MBR	0.395557714672756
scale	FlashLFQ_no_MBR	0
quantile	FlashLFQ_no_MBR	3.40038757610572
vsn	FlashLFQ_no_MBR	2.48459676202617
cyclicloess	MaxQuant	0.569536136482457
scale	MaxQuant	3.50716386562599
quantile	MaxQuant	4.09134379552612
vsn	MaxQuant	3.50037734430561
cyclicloess	MaxQuant_no_MBR	0.38709622811851
scale	MaxQuant_no_MBR	4.18268879123951
quantile	MaxQuant_no_MBR	4.30854986404187
vsn	MaxQuant_no_MBR	4.1651244417491
MaxLFQ	MaxQuant	0.51923353389671
MaxLFQ	MaxQuant_no_MBR	0.498850011036724
