norm_methods	quant_methods	10	10n	1	1n	0.1	0.1n	0.01	0.01n	0.001	0.001n	0.0001	0.0001n
cyclicloess	moFF	0.499765780595977	8	0.278470216863194	8	0.312019535251112	8	1.53376765739783	3	2.02849300967587	1	3.22112982562865	5
scale	moFF	0.655842551928926	8	0.651853286716037	8	2.1857165647639	8	4.05133310173945	8	3.78602403635763	8	3.10403005963744	8
quantile	moFF	0.478242868479334	8	0.386321838719755	8	3.61223377949582	8	5.058370452265	8	4.08481906932269	8	3.40555974785365	8
vsn	moFF	0.632327080781435	8	0.64985434365947	8	2.15992593974206	8	4.05088698109852	8	3.77370230346755	8	3.09347789839291	8
cyclicloess	moFF_no_MBR	0.782482582832545	8	0.461463469463412	8	0.478077123260117	8	1.30371523995456	8	2.2972815849169	8	3.20584832311987	8
scale	moFF_no_MBR	0.795518057707186	8	0.467533219802104	8	0.480578313996916	8	1.2971676222551	8	2.29488213072729	8	3.22612080107838	8
quantile	moFF_no_MBR	0.752062708350108	8	0.411746387119096	8	0.508702860018184	8	1.31646775933973	8	2.3363435640621	8	3.23161220918535	8
vsn	moFF_no_MBR	0.785944936845805	8	0.461554632708126	8	0.485696471150098	8	1.28783366072801	8	2.28860563210295	8	3.21740559596843	8
cyclicloess	FlashLFQ	0.510888811941642	8	0.268328462623579	8	0.243865594220424	8	0.275595546147071	8	2.28984127609049	7	2.97360867163536	6
scale	FlashLFQ	0.460279415152784	8	0.352860328427553	8	0.937015026483	8	2.1278335345936	8	2.89923335931309	8	1.62512067753862	8
quantile	FlashLFQ	0.382316120268724	8	0.304443871231701	8	0.881100658741605	8	2.36700900200388	8	2.9161959134172	8	1.91948505285709	8
vsn	FlashLFQ	0.43441976401007	8	0.328269476874641	8	0.921936357161216	8	2.11317432248027	8	2.88547654199212	8	1.61797260666961	8
cyclicloess	FlashLFQ_no_MBR	0.560916920452103	8	0.262158217376765	8	0.250137343378881	6	NaN	0	NaN	0	NaN	0
scale	FlashLFQ_no_MBR	0	0	0	0	0	0	0	0	0	0	0	0
quantile	FlashLFQ_no_MBR	0.568717877961413	8	1.1142250947294	8	3.8136608485023	8	5.31864180709647	8	3.95059994050211	8	3.06131945253642	8
vsn	FlashLFQ_no_MBR	0.584635380266367	8	1.07208422751307	8	2.50045975425825	8	3.99646004697719	8	2.43069777246912	8	2.72321129361047	8
cyclicloess	MaxQuant	0.498700553312687	8	0.273537369125465	8	0.310840646723892	8	0.346259696496987	2	NaN	0	2.27091651122646	1
scale	MaxQuant	0.485212551246664	8	0.372441069624199	8	2.95227063328949	8	4.79448164724293	8	4.80300495055989	8	4.31917052208521	8
quantile	MaxQuant	0.490694683905359	8	0.483308646752027	8	3.90664407319439	8	5.91256435039776	8	5.28678933112306	8	4.6679512909205	8
vsn	MaxQuant	0.464013913577068	8	0.352684572364788	8	2.92879696147734	8	4.78346225593294	8	4.80638051375504	8	4.31456806147413	8
cyclicloess	MaxQuant_no_MBR	0.504255902012661	8	0.294601722093659	8	0.320242486460555	7	NaN	0	NaN	0	NaN	0
scale	MaxQuant_no_MBR	0.503561960856652	8	0.859788740870613	8	4.66540646777645	8	6.10198840451231	8	4.94537890093568	8	4.52983988090323	8
quantile	MaxQuant_no_MBR	0.446634191599251	8	0.31787314583878	8	4.13320682048537	8	6.48954526261285	8	5.38148269798933	8	4.78781095935231	8
vsn	MaxQuant_no_MBR	0.456725699795152	8	0.837089152889346	8	4.65510681987377	8	6.07854508337686	8	4.9259449257491	8	4.50517367370035	8
NA	FlashLFQ_norm	0.493216344171544	8	0.304430527336509	8	0.179281766173467	8	0.376229145394222	8	2.24501643611551	8	2.62947662004302	8
NA	FlashLFQ_no_MBR_norm	0.53482353846093	8	0.274014177199538	8	0.195990724553794	8	1.42929416713932	8	3	8	3.88030775692923	8
MaxLFQ	MaxQuant	0.478157078789622	8	0.278466653906413	8	0.32759604142564	8	0.8296029789004	6	0.522107155010824	2	0.65633642178688	4
MaxLFQ	MaxQuant_no_MBR	0.495311512147928	8	0.284955058356451	8	0.32759604142564	8	0.8296029789004	2	NaN	0	NaN	0
